"",""
"Action","Action"
"Add Batch","Add Batch"
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"Batch Name","Batch Name"
"Batch was successfully deleted.","Batch was successfully deleted."
"Batch was successfully saved","Batch was successfully saved"
"Batch","Batch"
"Batches","Batches"
"CSV","CSV"
"Change status","Change status"
"Could not find batch to delete.","Could not find batch to delete."
"Delete Batch","Delete Batch"
"Delete","Delete"
"Disabled","Disabled"
"Edit Batch '%s'","Edit Batch '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select batches to delete.","Please select batches to delete."
"Please select batches.","Please select batches."
"Position","Position"
"Save And Continue Edit","Save And Continue Edit"
"Save Batch","Save Batch"
"Status","Status"
"Store views","Store views"
"There was a problem saving the batch.","There was a problem saving the batch."
"There was an error deleteing batch.","There was an error deleteing batch."
"There was an error deleteing batches.","There was an error deleteing batches."
"There was an error updating batches.","There was an error updating batches."
"This batch no longer exists.","This batch no longer exists."
"Total of %d batches were successfully deleted.","Total of %d batches were successfully deleted."
"Total of %d batches were successfully updated.","Total of %d batches were successfully updated."
"Unable to find batch to save.","Unable to find batch to save."
"XML","XML"
"Yes","Yes"